Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Southern,Gonzaga,58,64,0,33,23,10,.697,-2.61,-10.31,15,3,12,0,8,8,2223,1890,1320,761,1757,.433,226,619,.365,475,689,.689,288,1035,376,244,134,359,562,65.4,103.0,.392,.352,.533,46.9,49.4,11.3,10.8,.497,14.7,26.4,.270,+0.50,99.3,98.8,63.4,-.031,-11.47,95.2,106.7,+4.12,35,32,3,.914,20.47,4.18,16,0,15,1,10,1,2696,2095,1400,961,1934,.497,226,609,.371,548,777,.705,409,1195,530,277,96,393,551,65.3,118.0,.402,.315,.585,53.3,55.2,12.1,8.2,.555,14.6,37.8,.283,+27.81,120.5,92.7,63.3,+.026,+4.37,105.4,101.0,+5.03
Wichita State,Pittsburgh,73,55,1,39,30,9,.769,14.68,6.09,12,6,14,2,7,5,2720,2385,1560,954,2166,.440,259,765,.339,553,791,.699,512,1355,530,289,173,492,700,64.9,107.5,.365,.353,.535,53.2,55.6,11.4,13.5,.500,16.2,38.0,.255,+20.31,111.8,91.5,63.8,-.002,+6.71,106.9,100.2,+0.17,33,24,9,.727,18.82,5.63,12,6,16,3,6,3,2282,1847,1335,837,1775,.472,163,467,.349,445,666,.668,425,1067,537,218,131,364,575,60.4,113.2,.375,.263,.546,53.1,64.2,10.8,12.7,.517,14.8,40.4,.251,+24.08,115.6,91.5,59.3,-.058,+4.52,104.9,100.4,-9.69
Mississippi,Wisconsin,57,46,1,36,27,9,.750,14.42,4.14,12,6,16,1,6,6,2779,2409,1455,977,2230,.438,238,735,.324,587,866,.678,466,1251,450,297,185,395,606,70.5,108.4,.388,.330,.526,48.1,46.1,11.6,13.7,.491,13.0,33.6,.263,+16.95,112.3,95.3,69.2,-.011,+3.19,103.4,100.2,-7.55,35,23,12,.657,18.76,9.73,12,6,15,3,5,6,2274,1958,1420,823,1960,.420,259,785,.330,369,582,.634,401,1202,465,200,153,334,491,61.4,104.4,.297,.401,.508,50.8,56.5,9.2,10.8,.486,13.0,32.4,.188,+22.57,108.3,85.7,60.4,-.033,+11.08,108.8,97.7,-3.20
La Salle,Kansas State,63,61,1,34,24,10,.706,10.14,4.46,11,5,13,2,8,6,2450,2257,1370,871,1931,.451,262,695,.377,446,605,.737,332,958,481,263,119,390,520,66.5,107.6,.313,.360,.552,44.6,55.2,11.6,8.3,.519,15.0,29.0,.231,+13.89,111.8,98.0,64.6,+.051,+5.67,105.8,100.1,-0.50,35,27,8,.771,13.53,6.53,14,4,15,1,7,3,2414,2115,1400,872,2002,.436,238,658,.362,432,631,.685,470,1145,557,247,129,403,631,63.6,108.4,.315,.329,.524,50.6,63.9,11.1,10.3,.495,14.9,38.7,.216,+18.16,113.5,95.3,61.4,+.051,+6.82,106.1,99.3,-3.29
Arizona,Belmont,81,64,1,35,27,8,.771,17.30,7.47,12,6,14,2,7,4,2570,2226,1405,880,1933,.455,269,725,.371,541,722,.749,393,1172,476,234,134,458,584,66.8,109.5,.374,.375,.565,52.7,54.1,10.0,10.2,.525,16.8,35.0,.280,+21.88,115.4,93.5,65.5,-.012,+7.99,106.4,98.5,+1.45,33,26,7,.788,10.37,-0.96,14,2,13,0,9,4,2533,2129,1325,906,1844,.491,279,729,.383,442,604,.732,306,966,516,322,88,440,604,68.1,112.3,.328,.395,.594,46.8,57.0,14.3,8.0,.567,17.1,29.9,.240,+14.92,111.6,96.6,65.9,+.013,-0.74,103.8,104.6,+5.39
New Mexico,Harvard,62,68,0,35,29,6,.829,13.28,6.63,13,3,15,1,8,4,2355,2122,1410,768,1815,.423,221,629,.351,598,829,.721,335,1123,505,220,134,402,542,64.7,103.3,.457,.347,.533,49.4,65.8,9.6,11.3,.484,15.4,29.3,.329,+19.02,109.9,90.9,63.7,+.073,+7.98,106.4,98.4,+4.42,30,20,10,.667,3.95,0.16,11,3,13,1,6,8,2049,1924,1215,677,1425,.475,191,480,.398,504,697,.723,219,796,392,218,126,399,457,63.8,105.6,.489,.337,.583,46.3,57.9,11.2,11.0,.542,18.5,26.0,.354,+7.07,108.1,101.1,63.3,+.037,+0.60,102.8,102.2,+5.07
Notre Dame,Iowa State,58,76,0,35,25,10,.714,13.74,7.22,11,7,17,2,4,5,2450,2222,1440,892,1929,.462,228,617,.370,438,618,.709,387,1146,587,175,132,393,495,62.0,109.8,.320,.320,.551,50.6,65.8,7.8,9.3,.522,15.0,34.0,.227,+16.65,114.6,97.9,60.3,+.046,+6.53,105.1,98.6,-6.61,35,23,12,.657,14.50,6.13,11,7,16,1,4,7,2779,2486,1420,962,2111,.456,346,924,.374,509,696,.731,422,1238,560,223,97,460,593,70.0,111.7,.330,.438,.569,51.2,58.2,9.0,7.0,.538,15.9,34.2,.241,+17.63,117.5,99.8,68.3,-.046,+6.74,105.5,98.7,-3.12
Ohio State,Iona,95,70,1,37,29,8,.784,20.19,9.32,13,5,16,2,5,5,2599,2197,1485,928,2057,.451,227,638,.356,516,729,.708,378,1219,493,248,162,377,590,64.3,108.9,.354,.310,.541,50.5,53.1,10.4,12.9,.506,13.6,31.1,.251,+25.42,115.1,89.7,63.6,+.020,+10.18,107.3,97.1,-5.53,34,20,14,.588,4.04,-0.02,11,7,11,1,5,9,2733,2595,1395,956,2106,.454,283,771,.367,538,689,.781,395,1094,523,222,101,421,582,70.5,111.1,.327,.366,.562,47.1,54.7,9.0,7.4,.521,14.7,32.8,.255,+7.45,114.4,106.9,69.7,-.070,+0.94,102.4,101.4,+4.09
Wichita State,Gonzaga,76,70,1,39,30,9,.769,14.68,6.09,12,6,14,2,7,5,2720,2385,1560,954,2166,.440,259,765,.339,553,791,.699,512,1355,530,289,173,492,700,64.9,107.5,.365,.353,.535,53.2,55.6,11.4,13.5,.500,16.2,38.0,.255,+20.31,111.8,91.5,63.8,-.002,+6.71,106.9,100.2,+0.17,35,32,3,.914,20.47,4.18,16,0,15,1,10,1,2696,2095,1400,961,1934,.497,226,609,.371,548,777,.705,409,1195,530,277,96,393,551,65.3,118.0,.402,.315,.585,53.3,55.2,12.1,8.2,.555,14.6,37.8,.283,+27.81,120.5,92.7,63.3,+.026,+4.37,105.4,101.0,+5.03
La Salle,Mississippi,76,74,1,34,24,10,.706,10.14,4.46,11,5,13,2,8,6,2450,2257,1370,871,1931,.451,262,695,.377,446,605,.737,332,958,481,263,119,390,520,66.5,107.6,.313,.360,.552,44.6,55.2,11.6,8.3,.519,15.0,29.0,.231,+13.89,111.8,98.0,64.6,+.051,+5.67,105.8,100.1,-0.50,36,27,9,.750,14.42,4.14,12,6,16,1,6,6,2779,2409,1455,977,2230,.438,238,735,.324,587,866,.678,466,1251,450,297,185,395,606,70.5,108.4,.388,.330,.526,48.1,46.1,11.6,13.7,.491,13.0,33.6,.263,+16.95,112.3,95.3,69.2,-.011,+3.19,103.4,100.2,-7.55
