School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Air Force,29,13,16,.448,-0.45,2.14,3,11,9,7,2,7,1786,1798,,62.9,97.1,.388,.411,.545,43.6,65.4,10.5,10.5,.515,18.5,20.4,.262,-2.20,100.0,102.2,61.1,-.017,+1.28,102.5,101.2,-11.06
Akron,34,22,12,.647,6.33,0.72,13,3,13,2,8,8,2456,2241,,67.5,106.2,.394,.298,.550,49.2,54.7,10.7,10.4,.517,17.7,35.2,.273,+10.66,108.3,97.7,66.4,-.021,+2.81,104.6,101.8,+3.86
Alabama,33,21,12,.636,13.76,7.18,9,7,12,3,4,6,2135,1918,,62.9,102.2,.362,.273,.529,49.9,51.7,11.4,12.0,.491,17.3,33.5,.257,+16.69,106.1,89.5,61.9,-.067,+7.07,107.4,100.3,+3.98
Alabama A&M,28,7,21,.250,-19.33,-10.79,5,13,6,5,1,15,1764,1964,,68.8,90.8,.361,.305,.490,45.5,49.9,9.2,10.7,.457,20.4,31.1,.233,-21.42,90.0,111.4,66.8,-.063,-11.19,93.6,104.8,+9.08
Alabama State,31,12,19,.387,-15.79,-9.96,9,9,7,4,4,14,1840,1995,,65.6,88.7,.354,.362,.460,46.0,55.1,11.4,8.4,.433,19.0,33.1,.207,-16.87,87.8,104.7,63.5,+.026,-9.96,95.4,105.4,+9.52
Alabama-Birmingham,31,15,16,.484,2.61,3.64,9,7,8,7,5,7,1875,1907,,62.0,97.2,.363,.334,.513,50.2,53.8,7.1,9.4,.477,19.4,34.8,.249,+3.89,101.2,97.3,61.1,+.020,+4.69,105.8,101.1,+3.25
Albany (NY),34,19,15,.559,-3.92,-6.92,9,7,10,4,6,10,2453,2351,,65.7,109.4,.367,.356,.553,49.2,50.4,8.6,7.5,.511,16.2,35.2,.277,-2.80,108.8,111.6,64.7,-.019,-8.11,97.4,105.5,-5.75
Alcorn State,32,10,22,.313,-19.57,-10.61,6,12,7,5,2,14,1926,2148,,68.7,89.7,.363,.252,.492,43.2,42.1,9.3,8.5,.451,19.8,28.1,.252,-20.18,88.4,108.6,67.4,-.046,-11.22,94.2,105.4,+7.42
American,32,20,12,.625,-3.12,-5.24,10,4,13,2,7,10,2059,1991,,62.9,102.0,.338,.343,.529,46.5,56.7,7.2,8.0,.493,15.4,27.1,.242,-0.91,101.3,102.2,61.7,+.056,-5.45,100.1,105.5,-4.69
Appalachian State,31,13,18,.419,-6.93,-3.28,7,11,9,5,3,11,2121,2175,,68.0,100.2,.387,.349,.529,47.9,50.8,8.8,9.7,.501,18.1,31.0,.252,-8.40,99.6,108.0,65.5,+.005,-4.14,101.0,105.2,+4.97
