School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Air Force,31,10,21,.323,-2.99,2.37,0,16,7,10,1,9,1821,1936,,,,.420,.393,.547,48.0,61.9,,5.5,.514,19.6,,.283,-5.70,98.6,104.3,57.8,-.090,+2.30,104.9,102.6,-12.06
Akron,36,23,13,.639,3.37,-2.01,10,6,11,3,8,8,2403,2171,,,,.358,.394,.522,49.2,54.2,,5.0,.483,17.5,,.253,+6.90,102.9,96.0,64.8,-.014,-1.60,100.9,102.5,-1.83
Alabama,32,18,14,.563,5.49,3.99,7,9,13,5,2,7,2349,2254,,,,.372,.250,.522,51.6,42.2,,8.2,.483,17.1,,.262,+6.63,105.9,99.3,67.5,-.016,+4.06,105.2,101.2,-7.19
Alabama A&M,27,8,19,.296,-19.72,-11.63,6,12,6,7,2,11,1761,1954,,,,.407,.290,.471,46.0,49.0,,6.3,.427,19.3,,.271,-20.67,86.0,106.7,70.2,-.012,-12.18,96.1,108.3,+9.37
Alabama State,32,22,10,.688,-6.13,-11.20,16,2,10,1,8,7,2202,2025,,,,.350,.314,.539,50.3,54.5,,9.0,.517,17.5,,.222,-2.97,100.7,103.6,63.6,+.025,-11.71,95.4,107.2,+9.21
Alabama-Birmingham,34,22,12,.647,10.05,3.67,11,5,13,1,7,8,2461,2244,,,,.346,.349,.546,50.0,48.9,,4.0,.514,14.7,,.244,+13.73,109.4,95.7,66.4,-.009,+5.04,106.2,101.2,+3.87
Albany (NY),31,15,16,.484,-6.63,-4.11,6,10,10,4,5,12,1984,2038,,,,.344,.258,.498,56.3,51.3,,4.5,.455,19.2,,.248,-6.99,97.3,104.3,64.3,+.046,-4.91,100.3,105.2,-3.46
Alcorn State,31,6,25,.194,-25.55,-10.26,4,14,5,7,1,15,2156,2588,,,,.373,.300,.482,42.9,41.6,,3.1,.440,16.9,,.255,-26.40,92.1,118.5,72.4,-.050,-10.26,96.5,106.7,+2.94
American,32,24,8,.750,-0.05,-5.49,13,1,13,1,11,6,2065,1891,,,,.318,.381,.556,51.9,56.1,,5.5,.537,18.5,,.206,+4.70,105.3,100.6,60.7,+.093,-6.34,97.6,104.0,+0.55
Appalachian State,31,13,18,.419,-8.44,-5.44,9,11,7,7,5,9,2356,2381,,,,.415,.363,.557,55.3,50.9,,6.5,.520,20.4,,.294,-8.10,101.5,109.6,69.7,-.005,-5.31,101.1,106.4,+2.23
Arizona,35,21,14,.600,11.88,8.80,9,9,14,3,2,9,2529,2421,,,,.375,.290,.567,51.7,55.7,,6.0,.530,16.5,,.276,+15.96,117.7,101.8,64.9,+.018,+11.33,109.0,97.7,+2.34
Arizona State,35,25,10,.714,16.70,7.82,11,7,12,3,6,4,2428,2117,,,,.387,.453,.597,51.0,65.9,,4.5,.564,16.5,,.285,+23.03,118.2,95.2,59.1,-.018,+10.14,108.9,98.8,-2.04
Arkansas,30,14,16,.467,3.79,3.89,2,14,12,6,1,9,2238,2213,,,,.373,.334,.522,51.1,48.9,,5.6,.493,16.4,,.243,+3.20,105.1,101.9,68.6,-.040,+3.85,105.1,101.2,-7.75
Arkansas State,30,13,17,.433,-5.42,-4.31,5,13,9,5,4,12,1996,1948,,,,.339,.262,.510,51.7,55.0,,7.3,.477,17.3,,.231,-5.23,95.9,101.1,64.3,-.069,-3.42,102.0,105.5,-0.01
Arkansas-Pine Bluff,31,13,18,.419,-15.45,-7.48,11,7,6,3,6,14,1943,2190,,,,.367,.244,.468,50.7,47.8,,5.6,.436,22.6,,.227,-13.77,88.0,101.7,69.7,+.082,-6.85,98.5,105.4,+15.60
Army,30,11,19,.367,-10.11,-7.59,6,8,7,7,4,12,1741,1823,,,,.292,.279,.499,45.6,61.5,,5.8,.467,20.8,,.202,-12.46,88.3,100.7,62.8,-.033,-8.81,97.2,106.0,-9.41
Auburn,36,24,12,.667,9.93,3.56,10,6,18,4,5,5,2620,2354,,,,.379,.393,.525,49.9,54.6,,7.1,.504,15.8,,.230,+12.46,106.8,94.3,68.3,-.032,+3.54,104.7,101.2,-7.27
Austin Peay,33,19,14,.576,-4.20,-3.69,13,5,9,5,9,7,2485,2449,,,,.379,.328,.561,49.6,54.9,,6.4,.531,16.8,,.261,-1.64,107.4,109.0,66.7,+.056,-2.35,102.3,104.7,+4.92
Ball State,31,14,17,.452,-5.50,-3.02,7,9,10,6,3,10,1795,1852,,,,.384,.251,.483,50.6,51.5,,4.4,.454,17.9,,.235,-6.50,95.2,101.7,60.6,+.026,-4.45,99.0,103.5,-2.20
Baylor,39,24,15,.615,12.54,7.93,5,11,14,5,4,7,2965,2732,,,,.382,.400,.573,49.8,47.3,,7.4,.540,16.2,,.272,+16.38,116.5,100.1,65.8,-.017,+10.57,108.6,98.0,-2.35
Belmont,33,20,13,.606,0.39,-1.37,14,6,12,3,8,9,2528,2334,,,,.339,.484,.555,49.6,63.2,,5.0,.529,17.4,,.232,+4.25,106.6,102.4,69.1,-.047,-3.83,101.3,105.2,+2.46
Bethune-Cookman,33,17,16,.515,-12.41,-9.76,9,7,8,4,7,10,1926,1941,,,,.386,.283,.472,52.6,44.8,,6.6,.437,18.8,,.243,-11.76,89.5,101.3,59.8,+.012,-10.45,96.1,106.6,-2.18
Binghamton,32,23,9,.719,-3.27,-5.62,13,3,12,2,9,6,2239,2156,,,,.416,.326,.530,48.5,49.2,,8.5,.495,16.9,,.278,-0.98,102.3,103.3,67.2,+.130,-5.64,99.6,105.3,-4.08
Boise State,32,19,13,.594,-0.95,0.54,9,7,13,3,6,9,2329,2315,,,,.294,.316,.553,49.5,58.3,,6.8,.527,18.4,,.205,+0.97,103.1,102.1,68.7,+.091,-0.24,104.1,104.4,-3.56
Boston College,34,22,12,.647,10.36,7.23,9,7,15,4,5,5,2528,2397,,,,.367,.325,.538,51.9,56.8,,8.1,.497,16.3,,.271,+11.20,113.2,102.0,65.3,+.038,+6.40,106.6,100.2,-5.57
